Date,Open,High,Low,Close,Adj Close,Volume
2020-03-02,54300.0,55500.0,53600.0,55000.0,50104.92578125,30403412
2020-03-03,56700.0,56900.0,55100.0,55400.0,50469.3125,30330295
2020-03-04,54800.0,57600.0,54600.0,57400.0,52291.3203125,24765728
2020-03-05,57600.0,58000.0,56700.0,57800.0,52655.7109375,21698990
2020-03-06,56500.0,57200.0,56200.0,56500.0,51471.41015625,18716656
2020-03-09,56500.0,56500.0,56500.0,56500.0,51471.41015625,0
2020-03-10,53800.0,54900.0,53700.0,54600.0,49740.5234375,32106554
2020-03-11,54300.0,54400.0,52000.0,52100.0,47463.0234375,45707281
2020-03-12,52100.0,52100.0,52100.0,52100.0,47463.0234375,0
2020-03-13,47450.0,51600.0,46850.0,49950.0,45504.37890625,59462933
2020-03-16,50100.0,50900.0,48800.0,48900.0,44547.828125,33339821
2020-03-17,46900.0,49650.0,46700.0,47300.0,43090.2265625,51218151
2020-03-18,47750.0,48350.0,45600.0,45600.0,41541.53125,40152623
2020-03-19,46400.0,46650.0,42300.0,42950.0,39127.3828125,56925513
2020-03-20,44150.0,45500.0,43550.0,45400.0,41359.328125,49730008
2020-03-23,42600.0,43550.0,42400.0,42500.0,38717.43359375,41701626
2020-03-24,43850.0,46950.0,43050.0,46950.0,42771.375,49801908
2020-03-25,48950.0,49600.0,47150.0,48650.0,44320.07421875,52735922
2020-03-26,49000.0,49300.0,47700.0,47800.0,43545.71875,42185129
2020-03-27,49600.0,49700.0,46850.0,48300.0,44001.2265625,39896178
2020-03-30,47050.0,48350.0,46550.0,47850.0,43913.12109375,26797395
2020-03-31,48000.0,48500.0,47150.0,47750.0,43821.34765625,30654261
2020-04-01,47450.0,47900.0,45800.0,45800.0,42031.78515625,27259532
2020-04-02,46200.0,46850.0,45350.0,46800.0,42949.51171875,21621076
2020-04-03,47400.0,47600.0,46550.0,47000.0,43133.0546875,22784682
2020-04-06,47500.0,48800.0,47250.0,48700.0,44693.1875,23395726
2020-04-07,49650.0,50200.0,49000.0,49600.0,45519.13671875,31524034
2020-04-08,49600.0,49750.0,48600.0,48600.0,44601.421875,25010314
2020-04-09,49750.0,49800.0,48700.0,49100.0,45060.28125,22628058
2020-04-10,48950.0,49250.0,48650.0,49250.0,45197.9296875,17839111
2020-04-13,48650.0,48900.0,48300.0,48300.0,44326.1015625,14431800
2020-04-14,48800.0,49200.0,48300.0,49000.0,44968.51171875,14206216
2020-04-16,49350.0,49350.0,48550.0,49000.0,44968.51171875,23349760
2020-04-17,50800.0,52000.0,50300.0,51400.0,47171.05078125,32041675
2020-04-20,51400.0,51400.0,50000.0,50100.0,45978.0078125,21866354
2020-04-21,49400.0,49700.0,48700.0,49250.0,45197.9296875,27407543
2020-04-22,48700.0,50000.0,48350.0,49850.0,45748.5703125,18613864
2020-04-23,50200.0,50300.0,49500.0,49850.0,45748.5703125,18754442
2020-04-24,49650.0,49750.0,49000.0,49350.0,45289.7109375,15618347
2020-04-27,49350.0,50000.0,49100.0,49850.0,45748.5703125,14049471
2020-04-28,49850.0,50100.0,49300.0,50100.0,45978.0078125,16095399
2020-04-29,49900.0,50500.0,49600.0,50000.0,45886.234375,15604533
2020-05-04,48900.0,49100.0,48500.0,48500.0,44509.64453125,26083749
