사용년월,노선번호,노선명,역명,00시승차총승객수,00시하차총승객수,1시승차총승객수,1시하차총승객수,2시승차총승객수,2시하차총승객수,3시승차총승객수,3시하차총승객수,4시승차총승객수,4시하차총승객수,5시승차총승객수,5시하차총승객수,6시승차총승객수,6시하차총승객수,7시승차총승객수,7시하차총승객수,8시승차총승객수,8시하차총승객수,9시승차총승객수,9시하차총승객수,10시승차총승객수,10시하차총승객수,11시승차총승객수,11시하차총승객수,12시승차총승객수,12시하차총승객수,13시승차총승객수,13시하차총승객수,14시승차총승객수,14시하차총승객수,15시승차총승객수,15시하차총승객수,16시승차총승객수,16시하차총승객수,17시승차총승객수,17시하차총승객수,18시승차총승객수,18시하차총승객수,19시승차총승객수,19시하차총승객수,20시승차총승객수,20시하차총승객수,21시승차총승객수,21시하차총승객수,22시승차총승객수,22시하차총승객수,23시승차총승객수,23시하차총승객수
202101,100,100번(하계동~용산구청),이촌동두산위브트레지움.한강대우아파트,10,5,0,0,0,0,0,0,0,0,76,30,252,37,532,55,668,90,468,99,378,91,398,112,420,126,441,122,381,108,413,145,449,137,429,158,409,136,203,97,230,93,257,138,90,63,27,29
202101,100,100번(하계동~용산구청),이촌1동충신교회앞,0,1,0,0,0,0,0,0,0,0,20,72,43,83,50,114,59,276,86,191,82,130,96,164,77,229,119,237,99,288,115,289,92,325,105,325,98,409,60,338,51,231,41,306,10,93,3,42
202101,100,100번(하계동~용산구청),이촌동한가람아파트.이촌역,7,2,0,0,0,0,0,0,0,0,28,15,150,29,179,79,380,131,320,123,311,130,303,164,333,142,296,171,300,178,377,181,295,194,383,225,243,190,254,138,142,105,265,110,98,57,42,21
202101,100,100번(하계동~용산구청),이촌동한강맨션.이촌역,1,0,0,0,0,0,0,0,0,0,22,81,61,99,248,111,449,117,196,160,153,120,138,163,115,171,154,227,199,314,182,303,164,334,211,344,210,370,219,353,151,211,163,347,53,107,32,42
202101,100,100번(하계동~용산구청),신용산초등학교,30,1,0,0,0,0,0,0,0,0,26,7,82,28,164,58,177,108,155,132,175,90,194,125,271,159,258,167,317,166,325,145,306,144,257,384,219,242,195,120,191,78,220,92,65,48,40,14
202101,100,100번(하계동~용산구청),신용산초등학교,0,0,0,0,0,0,0,0,0,0,27,68,8,83,34,84,49,188,30,158,55,154,55,135,107,164,105,210,98,240,124,270,111,343,133,290,91,323,100,296,85,218,82,235,34,69,18,29
202101,100,100번(하계동~용산구청),이촌동강촌아파트,5,0,0,0,0,0,0,0,0,0,64,1,200,20,397,23,544,58,579,102,379,62,428,72,468,95,532,135,520,132,534,96,548,100,450,151,339,143,220,47,259,31,325,55,139,38,61,7
202101,100,100번(하계동~용산구청),이촌동점보아파트,0,1,0,0,0,0,0,0,0,0,5,80,19,79,41,188,137,313,61,235,43,193,76,165,75,222,87,295,76,314,106,369,119,445,106,397,124,539,81,474,87,402,96,468,10,168,8,62
202101,100,100번(하계동~용산구청),이촌동현대아파트,2,3,0,0,0,0,0,0,0,0,42,4,145,25,388,39,470,59,486,81,450,64,487,65,501,66,478,97,562,114,485,117,440,101,582,93,368,112,219,83,185,59,216,68,113,31,31,14
202101,100,100번(하계동~용산구청),금강병원.반도아파트,0,0,0,0,0,0,0,0,0,0,13,193,11,79,63,214,133,242,70,188,72,153,110,164,89,118,85,203,90,200,120,224,95,217,131,191,63,203,68,266,46,196,29,289,18,89,5,50
202101,100,100번(하계동~용산구청),서빙고신동아아파트,3,3,0,0,0,0,0,0,0,0,70,10,148,17,163,65,182,75,226,44,259,30,297,54,308,39,404,52,446,59,414,55,318,40,508,62,455,62,233,49,170,45,201,53,84,11,26,8
202101,100,100번(하계동~용산구청),서빙고신동아아파트,0,0,0,0,0,0,0,0,0,0,14,161,27,46,30,111,15,195,11,81,48,89,56,120,42,110,67,147,54,156,30,187,25,145,81,166,57,191,28,152,19,116,29,129,3,46,2,26
202101,100,100번(하계동~용산구청),서빙고역교차로,1,0,0,0,0,0,0,0,0,0,13,19,4,6,7,9,19,6,16,10,12,7,18,6,17,10,20,13,26,29,33,18,34,12,20,33,30,44,14,26,9,30,5,30,2,3,9,1
202101,100,100번(하계동~용산구청),한강중학교,1,0,0,0,0,0,0,0,0,0,59,3,29,1,38,3,25,7,26,23,50,4,21,2,57,7,73,4,60,3,51,2,36,3,48,7,72,9,39,3,17,1,22,3,14,3,3,1
